學年度,學期別,課號,永久課號,課程名稱,人數上限,上課時間,上課教室,學分,時數,開課教師,所屬系所名稱,選別,開課系所
101,1,5468,ITS5310,車流理論,9999,4EFG,A904,3,3,吳水威,運輸與物流管理學系,選修,交通運輸碩士班
101,1,5470,IEM5205,論文研討  (碩一上),9999,1EF,MB520,1,2,許尚華,工業工程與管理學系,必修,工業工程與管理學系
101,1,5471,IEM5206,論文研討  (碩二上),9999,1EF,MB405,1,2,洪瑞雲,工業工程與管理學系,必修,工業工程與管理學系
101,1,5472,IEM5207,論文研討 (博一上),9999,1EF,MB520,1,2,許尚華,工業工程與管理學系,必修,工業工程與管理學系
101,1,5473,IEM5208,論文研討 (博二上),9999,1EF,MB519,1,2,陳文智,工業工程與管理學系,必修,工業工程與管理學系
101,1,5474,IEM5225,半導體製造管理,9999,2BCD,MB414,3,3,巫木誠,工業工程與管理學系,選修,工業工程與管理學系
101,1,5475,IEM5229,資料採礦,30,4BC4D,MB418,3,3,王志軒,工業工程與管理學系,選修,工業工程與管理學系
101,1,5476,IEM5237,萬用啟發式演算法,9999,1GHY,MB405,3,3,林春成,工業工程與管理學系,選修,工業工程與管理學系
101,1,5477,IEM5322,製程能力分析,9999,1BCD,MB418,3,3,彭文理,工業工程與管理學系,選修,工業工程與管理學系
101,1,5478,IEM5510,高等人因工程,9999,3BCD,MB402,3,3,許尚華,工業工程與管理學系,選修,工業工程與管理學系
101,1,5479,IEM5541,實驗設計,50,2BCD,MB506,3,3,唐麗英,工業工程與管理學系,選修,工業工程與管理學系
101,1,5480,IEM5556,人類資訊處理,30,5BCD,MB403,3,3,洪瑞雲,工業工程與管理學系,選修,工業工程與管理學系
101,1,5481,IEM5569,隨機過程,9999,3BCD,MB413,3,3,陳文智,工業工程與管理學系,選修,工業工程與管理學系
101,1,5482,IEM5781,製造管理專題,9999,3BCD,MB414,3,3,李榮貴,工業工程與管理學系,選修,工業工程與管理學系
101,1,5483,IEM6315,作業研究(三),9999,4BCD,MB413,3,3,許錫美,工業工程與管理學系,選修,工業工程與管理學系
101,1,5484,IEM6508,現場監控系統設計,9999,4IJK,MB506,3,3,梁高榮,工業工程與管理學系,選修,工業工程與管理學系
101,1,5485,IEM6641,資料包絡法研究,9999,2EFG,MB413,3,3,劉復華,工業工程與管理學系,選修,工業工程與管理學系
101,1,5487,IIM5262,資訊經濟,9999,4BCD,MB312,3,3,李永銘,資訊管理研究所,選修,資訊管理研究所
101,1,5488,IIM5274,財務工程與金融計算,9999,4BCD,MB311,3,3,戴天時,資訊管理與財務金融系,選修,資訊管理研究所
101,1,5489,IIM5280,數位內容理論與應用,40,2EFG,MB304,3,3,蔡銘箴,資訊管理研究所,選修,資訊管理研究所
101,1,5490,IIM5289,醫療資訊管理,9999,3BCD,MB312,3,3,黃興進,資訊管理研究所,選修,資訊管理研究所
101,1,5491,IIM5291,企業創新邏輯分析與實務探討,9999,3IJK,MB304,3,3,林孟洲,資訊管理研究所,選修,資訊管理研究所
101,1,5492,IIM5298,領導與統御,30,2BCD,MB312,3,3,楊千,經營管理研究所,選修,資訊管理研究所
101,1,5495,IIM5330,商業英語表達,9999,2CD,M205,2,2,Steve Wallac,資訊管理研究所,選修,資訊管理研究所
101,1,5497,IIM5402,消費者心理學,9999,3EFG,MB311,3,3,王蕙芝,資訊管理與財務金融系,選修,資訊管理研究所
101,1,5498,IIM5403,雲端知識圖譜,9999,1BCD,MB311,3,3,黎漢林,資訊管理研究所,選修,資訊管理研究所
101,1,5500,IIM5505,資訊安全,9999,2C3CD,MB311,3,3,羅濟群,資訊管理研究所,選修,資訊管理研究所
101,1,5501,IIM5549,智慧型管理決策系統,9999,5EFG,MB312,3,3,陳安斌,資訊管理研究所,選修,資訊管理研究所
101,1,5504,ITM5063,國際行銷,9999,3GHY,A701,3,3,林亭汝,科技管理研究所,選修,科技管理研究所
101,1,5505,ITM5081,科技管理,9999,2BCD,A701,3,3,袁建中,科技管理研究所,選修,科技管理研究所
101,1,5506,ITM5140,全球企業策略,9999,2EFG,A722,3,3,林亭汝,科技管理研究所,選修,科技管理研究所
101,1,5507,ITM5120,博士班研究方法(一),9999,3IJK,A709,3,3,洪志洋,科技管理研究所,必修,科技管理研究所
101,1,5508,ITM5131,科技策略與創新,9999,2FGH,A701,3,3,黃仕斌,科技管理研究所,選修,科技管理研究所
101,1,5509,ITM5137,企業策略與社會責任,9999,3BCD,A722,3,3,黃仕斌,科技管理研究所,選修,科技管理研究所
101,1,5510,ITM5331,碩士論文研究,9999,1A2A3A,A722,3,3,洪志洋,科技管理研究所,必修,科技管理研究所
101,1,5511,ITM5351,博士論文研究,9999,1A2A3A,A701,3,3,洪志洋,科技管理研究所,必修,科技管理研究所
101,1,5512,ITM5541,企業政策與策略管理,9999,4BCD,A701,3,3,徐作聖,科技管理研究所,必修,科技管理研究所
101,1,5513,ITM5708,科技管理專題研討 (碩一),9999,5IJ,A701,1,2,黃仕斌,科技管理研究所,必修,科技管理研究所
101,1,5514,ITM5709,科技管理專題研討 (碩二),9999,5IJ,A701,1,2,黃經堯,電子工程學系,必修,科技管理研究所
101,1,5516,ITM5718,科技管理專題研討（博一）,9999,5IJ,A701,1,2,張翼,材料科學與工程學系,必修,科技管理研究所
101,1,5517,ITM9021,再生能源系統暨管理,9999,1IJK,A701,3,3,徐作聖,科技管理研究所,選修,科技管理研究所
101,1,5518,ITM9022,資訊科技倫理,9999,3BCD,A701,3,3,袁建中,科技管理研究所,選修,科技管理研究所
101,1,5519,ITM9023,多目標決策分析與問題解決,9999,5EFG,A701,3,3,曾國雄,科技管理研究所,選修,科技管理研究所
101,1,5520,ITT5101,綠色供應鏈管理,9999,2FGH,,3,3,許鉅秉,物流管理碩士班,選修,物流管理碩士班
101,1,5522,ITT5103,博士班專題研討一,9999,5GHY,,1,2,陳穆臻,物流管理碩士班,必修,物流管理碩士班
101,1,5523,ITT5301,交通工程,9999,2EFG,,3,3,黃承傳,物流管理碩士班,選修,物流管理碩士班
101,1,5524,ITT5303,交通運輸專題演講,9999,1EF,,1,2,陳穆臻,物流管理碩士班,必修,物流管理碩士班
101,1,5525,ITT5333,資料探勘,9999,4EFG,,3,3,陳穆臻,物流管理碩士班,選修,物流管理碩士班
101,1,5526,ITT5529,捷運系統工程,9999,1BCD,A901,3,3,黃台生,物流管理碩士班,選修,物流管理碩士班
101,1,5527,ITT5550,運輸環境工程,9999,5BCD,,3,3,徐淵靜,物流管理碩士班,選修,物流管理碩士班
101,1,5528,ITT5558,運輸計畫評估,9999,1BCD,,3,3,馮正民,物流管理碩士班,必修,物流管理碩士班
101,1,5529,ITT5577,數學規劃,9999,2BCD,,3,3,邱裕鈞,物流管理碩士班,選修,物流管理碩士班
101,1,5530,ITT5582,航空運輸,9999,2BCD,,3,3,汪進財,物流管理碩士班,選修,物流管理碩士班
101,1,5531,ITT6348,作業研究,9999,4BCD,,3,3,汪進財,物流管理碩士班,選修,物流管理碩士班
101,1,5532,ITT6551,運輸管理,9999,1HYI,,3,3,陳武正,物流管理碩士班,選修,物流管理碩士班
101,1,5533,ITT7601,高等運輸學,9999,3BCD,,3,3,馮正民,物流管理碩士班,選修,物流管理碩士班
101,1,5534,ITT7636,論文研討一碩士班,9999,5EF,,1,2,陳穆臻,物流管理碩士班,必修,物流管理碩士班
101,1,5535,IBM5013,績效評估(博士班),9999,3IJK,,3,3,胡均立,經營管理研究所,選修,經營管理研究所
101,1,5536,IBM5015,消費者決策科學(博士班),9999,3BCD,,3,3,陳美芳,經營管理研究所,選修,經營管理研究所
101,1,5537,IBM5016,研究方法(博士班),9999,3GHY,,3,3,胡均立,經營管理研究所,選修,經營管理研究所
101,1,5540,IBM6013,計量經濟學(博士班),9999,1BCD,,3,3,胡均立,經營管理研究所,選修,經營管理研究所
101,1,5541,IBM6014,財務管理,9999,5EFG,,3,3,劉芬美,經營管理研究所,必修,經營管理研究所
101,1,5542,IBM6015,行銷管理,9999,3IJK,,3,3,陳光華,高階主管管理碩士學程,必修,經營管理研究所
101,1,5543,IBM6019,消費者行為:理論與實務,9999,5IJK,,3,3,金奉天,經營管理研究所,選修,經營管理研究所
101,1,5544,IBM6024,策略管理(博士班),9999,4FGH,,3,3,楊千,經營管理研究所,選修,經營管理研究所
101,1,5545,IBM6025,金融市場,9999,3BCD,,3,3,周雨田,經營管理研究所,必修,經營管理研究所
101,1,5546,IBM6032,人力資源管理,9999,1GHY,,3,3,曾芳代,經營管理研究所,必修,經營管理研究所
